commit,author_date, profile_in, profile_out, conditional_in, conditional_out
11149443e3677ac3164ce13528ce09c3e4d9c07e.txt,2013-11-14 14:55:03+00:00, 0, 0, 1, 0
317364663582d23c509e73ac408183afe6b79ec1.txt,2014-04-25 10:57:12+01:00, 0, 0, 4, 3
0bf025af7b4e801d4c3b38fdcc26cff1648de687.txt,2016-04-29 10:36:34-07:00, 0, 0, 3, 1
fe1f344ae889ad5f291f2943426d7f5190d27a32.txt,2015-06-01 13:23:17-07:00, 0, 0, 2, 0
c2a3ccde3e6828913a8d2b0f0c65b91ffacd00a5.txt,2014-11-09 12:58:26+01:00, 0, 0, 2, 0
0498617411811c16ae99890d185023e8fb348188.txt,2013-10-23 10:23:51-04:00, 0, 0, 2, 0
d0cf6b534bf55b718ea8bf0f2e311a974f523e1b.txt,2015-07-13 13:33:30+01:00, 0, 0, 1, 0
ff870de0f0bc96d3e82a78560c030100b7ff9385.txt,2014-08-27 09:24:45-07:00, 0, 0, 1, 1
ad53f09ed484619090350624d508dd5591f0e8d4.txt,2016-03-07 13:19:22+01:00, 0, 0, 1, 0
a0e51d06ea2a3aa7a171b996652c6a004d84fafb.txt,2013-05-09 12:37:23+01:00, 0, 0, 2, 0
d39a8360b77a26086613eb067f7043a04ea5025a.txt,2013-12-28 13:34:45+01:00, 0, 0, 3, 0
0490fbc7f85b1881f038dd9a1bd6240e06b43d1b.txt,2016-03-01 19:01:11+01:00, 0, 0, 0, 2
00fc04c01ee16d159f941ff68320fb3ffff5b359.txt,2013-08-09 11:19:33-07:00, 0, 0, 1, 1
182754a5823814dfc8baaf676ec70205601c5aa6.txt,2015-03-16 17:37:41-07:00, 0, 0, 2, 2
aca47ab67e2af226c4e9dfe9e611d05c08bd3dad.txt,2015-02-04 17:58:17+00:00, 0, 0, 1, 0
d98bfdea3763a674fb7d1c73dee0c46abbe1a589.txt,2014-02-24 11:32:27+00:00, 0, 0, 1, 0
e695e5d637c3ae8317f4340781294aa060e413c2.txt,2014-05-15 16:18:16+02:00, 0, 0, 2, 3
31d6a0f17a66e5342b9d2337cffdbcd3c6f2b6cd.txt,2015-06-04 00:44:19-07:00, 0, 0, 1, 1
d2fed8bb0758afd77834cb50f34617f899a347c9.txt,2016-01-13 09:02:19+00:00, 0, 0, 1, 1
e8e59ea65752f1b6c72dc25e2945108ec6cf2877.txt,2014-04-22 00:36:26+05:18, 0, 0, 3, 2
a8d099f6b8fedfeab622b9d4be3230bc842d0b3b.txt,2015-04-16 12:32:06-07:00, 0, 0, 0, 1
7410eee34f01da6d04087bf5f058c77ad85818e1.txt,2015-07-08 15:59:03+01:00, 0, 0, 1, 0
d7d77f3d06c520df65d8f7877b4d161619eba746.txt,2014-06-06 19:03:33+02:00, 0, 0, 6, 0
6e29ee4557f3c77dfe0cb46728f6723453d2b4bc.txt,2015-09-05 10:38:30-07:00, 0, 0, 1, 1
0f738be11477cef24295a2acd5b99119f54fd784.txt,2014-05-04 10:52:09+02:00, 0, 0, 1, 0
cb1b3481beac8280ab55898ed535cf08bbc80b28.txt,2014-05-01 11:46:27+01:00, 0, 0, 6, 1
9dec27e7bf921a0d5ad3b1d64486a4bff92c1df0.txt,2014-11-04 14:43:49+01:00, 0, 0, 1, 0
ef5c8aa30433654b01dd62bbd088cb09dd0d315a.txt,2013-05-10 11:51:21+01:00, 0, 0, 1, 0
a19eeaf91d958c57d5237693e83d2e538b1f2078.txt,2016-04-19 11:26:37+01:00, 0, 0, 0, 2
f304d46955846f1548c388acd4192a46b401e828.txt,2014-11-03 13:28:26+00:00, 0, 0, 3, 0
c8a48914417bc84a88bde2f0f0c9d11c61bc5ff4.txt,2014-08-05 09:42:44+02:00, 0, 0, 1, 1
261955c50b8fb44311324d2188bf6e3f92237e0c.txt,2013-07-05 16:44:24-07:00, 0, 0, 2, 0
1df48e23a22b0deaa5a5877b1932672153881e50.txt,2013-07-24 21:58:17+01:00, 0, 0, 1, 1
2f2750e713e71095bf022f4e5c29cba2a0aa9ed7.txt,2015-05-11 11:52:10+01:00, 0, 0, 0, 1
e0c3dd79f9ae85821155cff3ba241b0c05ef8af3.txt,2014-08-14 21:02:35-07:00, 0, 0, 2, 0
02a8a9c07bda69a6acf5b899e8dade02566b4005.txt,2014-09-05 14:51:51+02:00, 0, 0, 2, 0
bedf2edffa2e839c90e95158fef500b69702dc62.txt,2015-07-15 17:05:54+01:00, 0, 0, 3, 3
969c7d6fa188bd9e60cb2be837c1832eb0b5a66c.txt,2013-05-31 16:16:19+01:00, 0, 0, 1, 1
5a1e66b3d620c49c9e1ad9f0ac4244444c4ea892.txt,2015-06-30 12:32:29+01:00, 0, 0, 1, 1
e06198e9cbf49312a7c1b3949a7508354705983a.txt,2015-11-06 13:21:53-08:00, 0, 0, 1, 1
